ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProtoForm,ConceptInSource
pP-rawgreenbitter-1,,pP,rawgreenbitter,*paṣ̌a,*paṣ̌a,p a ʃ a,,,82,,^ * p a ṣ̌ a $,default,**paṣ…,"raw,green"
pT-rawgreenbitter-1,,pT,rawgreenbitter,*pace,*pace,p a ʈʂ e,,,82,,^ * p a c e $,default,**paṣ…,bitter
ProPaTa-toucan-1,,ProPaTa,toucan,**piza,**piza,p i z a,,,83,,^ * * p i z a $,default,**piza,toucan
pP-toucan-1,,pP,toucan,*pisa,*pisa,p i s a,,,83,,^ * p i s a $,default,**piza,toucan
pT-toucan-1,,pT,toucan,*pica ~ *pija,*pica,p i ʈʂ a,"Some sources gloss this word as ‘pinsha, bird sp.’ and the word may therefore be a loan into Pano-Takanan, which may account for its slight irregularity to Takanan.",,83,,^ * p i c a $,default,**piza,toucan
pT-toucan-2,,pT,toucan,*pica ~ *pija,*pija,p i j a,"Some sources gloss this word as ‘pinsha, bird sp.’ and the word may therefore be a loan into Pano-Takanan, which may account for its slight irregularity to Takanan.",,83,,^ * p i j a $,default,**piza,toucan
ProPaTa-arrow-1,,ProPaTa,arrow,**pi…,**pi…,p i,,,84,,^ * * p i … $,default,**pi…,arrow
pP-arrow-1,,pP,arrow,*pia,*pia,p i a,,,84,,^ * p i a $,default,**pi…,arrow
pT-arrow-1,,pT,arrow,*pisa,*pisa,p i s a,The Takanan form has some peculiarities: Kav has piya and not the expected piha.,,84,,^ * p i s a $,default,**pi…,arrow
ProPaTa-owl-1,,ProPaTa,owl,**pupu,**pupu,p u p u,,,85,,^ * * p u p u $,default,**pupu,owl
pT-owl-1,,pT,owl,*(pupu),*,,,,85,,^ * $,default,**pupu,owl
ProPaTa-butterfly-1,,ProPaTa,butterfly,**p…,**p…,p,,,86,,^ * * p … $,default,**p…,butterfly
pT-butterfly-1,,pT,butterfly,"*sapipi,*sababa,sapuřa",*sapipi,s a p i p i,,,86,,^ * s a p i p i $,default,**p…,butterfly
pT-butterfly-2,,pT,butterfly,"*sapipi,*sababa,sapuřa",*sababa,s a b a b a,,,86,,^ * s a b a b a $,default,**p…,butterfly
pT-butterfly-3,,pT,butterfly,"*sapipi,*sababa,sapuřa",sapuřa,s a p u ɽ a,,,86,,^ s a p u ř a $,default,**p…,butterfly
ProPaTa-arm-1,,ProPaTa,arm,**Pɨya…,**Pɨya…,!P/p ɨ j a,(?),,87,,^ * * P ɨ y a … $,default,**Pɨya…,arm
pP-arm-1,,pP,arm,*poyami,*poyami,p o j a m i,but cf. Csh,,87,,^ * p o y a m i $,default,**Pɨya…,arm
pT-arm-1,,pT,arm,*ba3-,*ba3-,b a,,,87,,^ * b a 3 -$,default,**Pɨya…,arm
pT-arm-2,,pT,arm,*be3-,*be3-,b e,,,87,,^ * b e 3 -$,default,**Pɨya…,"arm,shoulder"
ProPaTa-siblingofoppositesex-1,,ProPaTa,siblingofoppositesex,**Pu{i/ɨ},**Pu{i/ɨ},!P/p u !iɨ/i,,,88,,^ * * P u {i/ɨ} $,default,**Pu{i/ɨ},sibling of opposite sex
pP-siblingofoppositesex-1,,pP,siblingofoppositesex,*poi,*poi,p o i,,,88,,^ * p o i $,default,**Pu{i/ɨ},sibling of opposite sex
pT-siblingofoppositesex-1,,pT,siblingofoppositesex,"*bu4-,*bui/e",*bu4-,b u,,,88,,^ * b u 4 -$,default,**Pu{i/ɨ},son/daughter of mother’s sister
pT-siblingofoppositesex-2,,pT,siblingofoppositesex,"*bu4-,*bui/e",*bui/e,b u !ie/i,,,88,,^ * b u i/e $,default,**Pu{i/ɨ},son/daughter of mother’s sister
ProPaTa-totie-1,,ProPaTa,totie,"**ri…,*ris…",**ri…,r i,,,89,,^ * * r i … $,default,"**ri…,*ris…",to tie
ProPaTa-totie-2,,ProPaTa,totie,"**ri…,*ris…",*ris…,r i s,,,89,,^ * r i s … $,default,"**ri…,*ris…",to tie
pP-totie-1,,pP,totie,*risi(st)i,*risii,r i s i i,,,89,,^ * r i s i i $,default,"**ri…,*ris…",thread
pP-totie-2,,pP,totie,*risb̴iči,*risb̴iči,r i s β i tʃ i,,,89,,^ * r i s b̴ i č i $,default,"**ri…,*ris…","rope,thong"
pT-totie-1,,pT,totie,*řibi,*řibi,ɽ i b i,,,89,,^ * ř i b i $,default,"**ri…,*ris…",a snare made of ropes
pT-totie-2,,pT,totie,*řisi,*řisi,ɽ i s i,,,89,,^ * ř i s i $,default,"**ri…,*ris…",to tie
pT-totie-3,,pT,totie,*řiře,*řiře,ɽ i ɽ e,,,89,,^ * ř i ř e $,default,"**ri…,*ris…",to snare
ProPaTa-intestines-1,,ProPaTa,intestines,"**ṣa-,**ṣama",**ṣa-,ʃ a,,,90,,^ * * ṣ a -$,default,"**ṣa-,**ṣama",intestines
ProPaTa-intestines-2,,ProPaTa,intestines,"**ṣa-,**ṣama",**ṣama,ʃ a m a,,,90,,^ * * ṣ a m a $,default,"**ṣa-,**ṣama",intestines
pP-intestines-1,,pP,intestines,"*ṣ̌a-,ṣ̌ama-",*ṣ̌a-,ʃ a,,,90,,^ * ṣ̌ a -$,default,"**ṣa-,**ṣama",intestines
pP-intestines-2,,pP,intestines,"*ṣ̌a-,ṣ̌ama-",ṣ̌ama-,ʃ a m a,,,90,,^ ṣ̌ a m a -$,default,"**ṣa-,**ṣama",intestines
pT-intestines-1,,pT,intestines,*c̣a1-,*c̣a1-,ʈʂ a,,,90,,^ * c̣ a 1 -$,default,"**ṣa-,**ṣama",many compounds with reference to stringlike objects
pT-intestines-2,,pT,intestines,*c̣ama,*c̣ama,ʈʂ a m a,,,90,,^ * c̣ a m a $,default,"**ṣa-,**ṣama",intestines
ProPaTa-hairfeathers-1,,ProPaTa,hairfeathers,**ṣaNu-,**ṣaNu-,ʃ a !N/n u,probably related to item 90 above,,91,,^ * * ṣ a N u -$,default,**ṣaNu-,"hair,feathers"
pT-hairfeathers-1,,pT,hairfeathers,*c̣aru-,*c̣aru-,ʈʂ a r u,,,91,,^ * c̣ a r u -$,default,**ṣaNu-,"hair,feathers"
ProPaTa-mapajo-1,,ProPaTa,mapajo,**ṣapu,**ṣapu,ʃ a p u,doubtless related to item 90 above,,92,,^ * * ṣ a p u $,default,**ṣapu,mapajo
pP-mapajo-1,,pP,mapajo,*ṣ̌apo,*ṣ̌apo,ʃ a p o,,,92,,^ * ṣ̌ a p o $,default,**ṣapu,"mapajo,algodón silvestre (a tree sp. With natural wool)"
pT-mapajo-1,,pT,mapajo,*c̣apu,*c̣apu,ʈʂ a p u,,,92,,^ * c̣ a p u $,default,**ṣapu,mapajo
ProPaTa-bone-1,,ProPaTa,bone,**ṣau,**ṣau,ʃ a u,,,93,,^ * * ṣ a u $,default,**ṣau,bone
pP-bone-1,,pP,bone,*ṣ̌ao,*ṣ̌ao,ʃ a o,,,93,,^ * ṣ̌ a o $,default,**ṣau,bone
pT-bone-1,,pT,bone,*c̣au,*c̣au,ʈʂ a u,,,93,,^ * c̣ a u $,default,**ṣau,bone
ProPaTa-daynight-1,,ProPaTa,daynight,**ṣinV,**ṣinV,ʃ i n !V/i,,,94,,^ * * ṣ i n V $,default,**ṣinV,"day,night"
pT-daynight-1,,pT,daynight,*c̣ine/a,*c̣ine/a,ʈʂ i n !ea/a,"The Takanan form is found in both free and bound form, for example, Tak. Hanawa-cine-ke ‘rest all day’",,94,,^ * c̣ i n e/a $,default,**ṣinV,"night,afternoon"
ProPaTa-marihui-1,,ProPaTa,marihui,**ṣiu,**ṣiu,ʃ i u,,,95,,^ * * ṣ i u $,default,**ṣiu,marihuí
pP-marihui-1,,pP,marihui,*ṣ̌io,*ṣ̌io,ʃ i o,Shell’s *[š]io,,95,,^ * ṣ̌ i o $,default,**ṣiu,marihuí (gnat sp.)
pT-marihui-1,,pT,marihui,*c̣iu,*c̣iu,ʈʂ i u,,,95,,^ * c̣ i u $,default,**ṣiu,marihuí
ProPaTa-tooth-1,,ProPaTa,tooth,"**ṣɨ-,**ṣɨ-wɨ",**ṣɨ-,ʃ ɨ,,,96,,^ * * ṣ ɨ -$,default,"**ṣɨ-,**ṣɨ-wɨ",tooth
ProPaTa-tooth-2,,ProPaTa,tooth,"**ṣɨ-,**ṣɨ-wɨ",**ṣɨ-wɨ,ʃ ɨ + w ɨ,,,96,,^ * * ṣ ɨ - w ɨ $,default,"**ṣɨ-,**ṣɨ-wɨ",tooth
pP-tooth-1,,pP,tooth,*ṣ̌ɨ-ta,*ṣ̌ɨ-ta,ʃ ɨ + t a,,,96,,^ * ṣ̌ ɨ - t a $,default,"**ṣɨ-,**ṣɨ-wɨ",tooth
